"Name","SDK","hostname","moref","Uuid","InstanceUuid","ChangeVersion","Modified","isTemplate","GuestID","MemoryHotAddEnabled","CPUHotAddEnabled","CPUHotRemoveEnabled","VMX","VMXFilepath","toolsversion","vcpu","corepersocket","memorymb","powerstate","connectionstate","boottime","consolidationneeded","vmfolder","resourcepool","resourcepoolparent","nicipaddress1","nic1","nicmac1","nicsportgroup1","scsisharing1","scsi1","scsisize1","harddisklocation1","harddisk1","harddisksize1","harddisklocation2","harddisk2","harddisksize2","harddisklocation3","harddisk3","harddisksize3","harddisklocation4","harddisk4","harddisksize4","harddisklocation5","harddisk5","harddisksize5","harddisklocation6","harddisk6","harddisksize6","harddisklocation7","harddisk7","harddisksize7","harddisklocation8","harddisk8","harddisksize8","harddisklocation9","harddisk9","harddisksize9","harddisklocation10","harddisk10","harddisksize10","harddisklocation11","harddisk11","harddisksize11"
"vcenter","https://vcenter.domain.local/sdk","vcenter","VirtualMachine-vm-286","removed","removed","2017-05-06T20:42:12.232717Z","1/1/1970 12:00:00 AM","False","sles11_64Guest","False","False","False","VMware.Vim.VirtualMachineFileInfo","[vhost3local1tb] vcenter/vcenter.vmx","2147483647","2","1","8192","poweredOn","connected","5/6/2017 8:42:12 PM","False","app","Resources","cluster_apt","192.168.1.10","Network adapter 1","00:50:56:xx:xx:xx","vm management network","noSharing","SCSI controller 0","LSI Logic","[vhost3local1tb] vcenter/vcenter.vmdk","Hard disk 1","12,582,912 KB","[vhost3local1tb] vcenter/vcenter_1.vmdk","Hard disk 2","1,454,080 KB","[vhost3local1tb] vcenter/vcenter_2.vmdk","Hard disk 3","26,214,400 KB","[vhost3local1tb] vcenter/vcenter_3.vmdk","Hard disk 4","26,214,400 KB","[vhost3local1tb] vcenter/vcenter_4.vmdk","Hard disk 5","10,485,760 KB","[vhost3local1tb] vcenter/vcenter_5.vmdk","Hard disk 6","10,485,760 KB","[vhost3local1tb] vcenter/vcenter_6.vmdk","Hard disk 7","5,242,880 KB","[vhost3local1tb] vcenter/vcenter_7.vmdk","Hard disk 8","10,485,760 KB","[vhost3local1tb] vcenter/vcenter_8.vmdk","Hard disk 9","1,048,576 KB","[vhost3local1tb] vcenter/vcenter_9.vmdk","Hard disk 10","10,485,760 KB","[vhost3local1tb] vcenter/vcenter_10.vmdk","Hard disk 11","5,242,880 KB"
"emby-new","https://vcenter.domain.local/sdk","emby","VirtualMachine-vm-405","removed","removed","2017-05-06T20:42:18.442753Z","1/1/1970 12:00:00 AM","False","debian8_64Guest","False","False","False","VMware.Vim.VirtualMachineFileInfo","[ESX01_LOCAL_2TB_rep] emby-new/emby-new.vmx","2147483647","4","1","2048","poweredOn","connected","7/6/2017 5:11:39 PM","False","app","Resources","cluster_apt","192.168.1.190","Network adapter 2","00:50:56:xx:xx:xx","vlan-0-192.168.1.1-24","noSharing","SCSI controller 0","VMware paravirtual SCSI","[ESX01_LOCAL_2TB_rep] emby-new/emby-new.vmdk","Hard disk 1","1,048,576 KB","[ESX01_LOCAL_2TB_rep] emby-new/emby-new_3.vmdk","Hard disk 2","15,728,640 KB","[ESX01_LOCAL_2TB_rep] emby-new/emby-new_2.vmdk","Hard disk 3","2,097,152 KB",,,,,,,,,,,,,,,,,,,,,,,,
"ldap","https://vcenter.domain.local/sdk","openldap","VirtualMachine-vm-407","removed","removed","2017-07-05T21:32:01.91859Z","1/1/1970 12:00:00 AM","False","otherGuest64","False","False","False","VMware.Vim.VirtualMachineFileInfo","[ESX01_LOCAL_2TB_rep] ldap/ldap.vmx","2147483647","1","1","512","poweredOn","connected","7/5/2017 9:32:01 PM","False","infra","Resources","cluster_apt","192.168.1.48,ipv6_removed,ipv6_removed,ipv6_removed,ipv6_removed","Network adapter 1","00:50:56:xx:xx:xx","vlan-0-192.168.1.1-24","noSharing","SCSI controller 0","LSI Logic","[ESX01_LOCAL_2TB_rep] ldap/ldap.vmdk","Hard disk 1","20,971,520 KB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"graph","https://vcenter.domain.local/sdk",,"VirtualMachine-vm-408","removed","removed","2017-05-06T19:19:34.235892Z","1/1/1970 12:00:00 AM","False","otherLinux64Guest","False","False","False","VMware.Vim.VirtualMachineFileInfo","[ESX01_LOCAL_2TB_rep] graph/graph.vmx","2147483647","2","2","2048","poweredOff","connected",,"False","old","Resources","cluster_apt",,,,,"noSharing","SCSI controller 0","LSI Logic","[ESX01_LOCAL_2TB_rep] graph/graph.vmdk","Hard disk 1","16,777,216 KB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"storagetest","https://vcenter.domain.local/sdk","storagetest","VirtualMachine-vm-417","removed","removed","2017-05-06T19:19:22.373616Z","1/1/1970 12:00:00 AM","False","centos64Guest","False","False","False","VMware.Vim.VirtualMachineFileInfo","[ESX01_LOCAL_2TB_rep] storagetest/storagetest.vmx","2147483647","1","1","2048","poweredOff","connected",,"False","old","Resources","cluster_apt",,,,,"noSharing","SCSI controller 0","LSI Logic","[ESX01_LOCAL_2TB_rep] storagetest/storagetest.vmdk","Hard disk 1","16,777,216 KB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"vro_old","https://vcenter.domain.local/sdk","vro.domain.local","VirtualMachine-vm-419","removed","removed","2017-05-06T19:19:16.722469Z","1/1/1970 12:00:00 AM","False","sles11_64Guest","True","True","False","VMware.Vim.VirtualMachineFileInfo","[ESX01_LOCAL_2TB_rep] vro/vro.vmx","2147483647","2","1","4096","poweredOff","connected",,"False","infra","Resources","cluster_apt",,,,,"noSharing","SCSI controller 0","LSI Logic","[ESX01_LOCAL_2TB_rep] vro/vro.vmdk","Hard disk 1","7,340,032 KB","[ESX01_LOCAL_2TB_rep] vro/vro_1.vmdk","Hard disk 2","5,242,880 KB",,,,,,,,,,,,,,,,,,,,,,,,,,,
"log","https://vcenter.domain.local/sdk","log.domain.local","VirtualMachine-vm-420","removed","removed","2017-05-06T19:19:14.942035Z","1/1/1970 12:00:00 AM","False","sles11_64Guest","False","False","False","VMware.Vim.VirtualMachineFileInfo","[vhost3local1tb] log/log.vmx","2147483647","4","1","8192","poweredOff","connected",,"False","old","Resources","cluster_apt",,,,,"noSharing","SCSI controller 0","LSI Logic","[vhost3local1tb] log/log.vmdk,[vhost3local1tb] log/log-000001.vmdk","Hard disk 1","20,971,520 KB","[vhost3local1tb] log/log_1.vmdk,[vhost3local1tb] log/log_1-000001.vmdk","Hard disk 2","534,773,760 KB","[vhost3local1tb] log/log_2.vmdk,[vhost3local1tb] log/log_2-000001.vmdk","Hard disk 3","524,288 KB",,,,,,,,,,,,,,,,,,,,,,,,
"vro.domain.local","https://vcenter.domain.local/sdk","vro.domain.local","VirtualMachine-vm-425","removed","removed","2017-07-03T08:28:46.404634Z","1/1/1970 12:00:00 AM","False","sles11_64Guest","True","True","False","VMware.Vim.VirtualMachineFileInfo","[datastore1] vro.domain.local/vro.domain.local.vmx","2147483647","2","1","4096","poweredOn","connected","7/3/2017 8:28:46 AM","False","infra","Resources","cluster_apt","192.168.1.17,ipv6_removed,ipv6_removed,ipv6_removed,ipv6_removed","Network adapter 1","00:50:56:xx:xx:xx","vlan-0-192.168.1.1-24","noSharing","SCSI controller 0","LSI Logic","[datastore1] vro.domain.local/vro.domain.local.vmdk,[datastore1] vro.domain.local/vro.domain.local-000001.vmdk","Hard disk 1","7,340,032 KB","[datastore1] vro.domain.local/vro.domain.local_1.vmdk,[datastore1] vro.domain.local/vro.domain.local_1-000001.vmdk","Hard disk 2","5,242,880 KB",,,,,,,,,,,,,,,,,,,,,,,,,,,
"template_centos7","https://vcenter.domain.local/sdk","localhost.localdomain","VirtualMachine-vm-428","removed","removed","2017-04-16T15:32:55.967971Z","1/1/1970 12:00:00 AM","True","centos64Guest","False","False","False","VMware.Vim.VirtualMachineFileInfo","[ESX01_LOCAL_2TB_rep] template_centos7_1/template_centos7.vmtx","2147483647","1","1","1024","poweredOff","connected","4/16/2017 3:32:55 PM","False","templates",,,"null","Network adapter 1","00:50:56:xx:xx:xx","vlan-0-192.168.1.1-24","noSharing","SCSI controller 1","VMware paravirtual SCSI","[ESX01_LOCAL_2TB_rep] template_centos7_1/template_centos7_6.vmdk,[ESX01_LOCAL_2TB_rep] template_centos7_1/template_centos7_6-000001.vmdk,[ESX01_LOCAL_2TB_rep] template_centos7_1/template_centos7_6-000002.vmdk","Hard disk 2","2,097,152 KB","[ESX01_LOCAL_2TB_rep] template_centos7_1/template_centos7_5.vmdk,[ESX01_LOCAL_2TB_rep] template_centos7_1/template_centos7_5-000001.vmdk,[ESX01_LOCAL_2TB_rep] template_centos7_1/template_centos7_5-000002.vmdk","Hard disk 1","16,777,216 KB","[ESX01_LOCAL_2TB_rep] template_centos7_1/template_centos7_7.vmdk,[ESX01_LOCAL_2TB_rep] template_centos7_1/template_centos7_7-000001.vmdk,[ESX01_LOCAL_2TB_rep] template_centos7_1/template_centos7_7-000002.vmdk","Hard disk 3","5,242,880 KB",,,,,,,,,,,,,,,,,,,,,,,,
"ossec-vm-2.8.3","https://vcenter.domain.local/sdk",,"VirtualMachine-vm-436","removed","removed","2017-05-06T19:19:16.722095Z","1/1/1970 12:00:00 AM","False","otherGuest","False","False","False","VMware.Vim.VirtualMachineFileInfo","[ESX01_LOCAL_2TB_rep] ossec-vm-2.8.3/ossec-vm-2.8.3.vmx","0","1","1","4096","poweredOff","connected",,"False","Discovered","Resources","cluster_apt",,,,,"noSharing","SCSI controller 0","LSI Logic","[ESX01_LOCAL_2TB_rep] ossec-vm-2.8.3/ossec-vm-2.8.3.vmdk,[ESX01_LOCAL_2TB_rep] ossec-vm-2.8.3/ossec-vm-2.8.3-000001.vmdk","Hard disk 1","20,971,520 KB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
